"ï»¿FID_n2018L","Var1","currlats","currlons","directval","speedval","FID_EFDC","GRIDNO","IJ_VALUE","I_Value","J_Value","BedElev","I_Parent","J_Parent","Area","Mask","WSElev","ZRough","Sim_Result","Sim_Dir","Map_Value","Dry_Flag","Grid_Label","I_J_index","sig_thick","Area_ha","Num_layers","Wat_depth","Compar_AOI","ComparZone","Lat","Long","JulianDate","Modeled_Velocity","Modeled_Direction"
190,"10-Aug-2018 22:20:43",43.3890333333,-77.32315,75,0.06,10095,5645,"(187,75)",187,75,-199.769,0,0,0,0,0.192,0.001,4.519137,NA,4.519137,0,NA,"187-75",19.9961,221.445985165,10,199.961,"no","",43.3949461321,-77.3242415683,1533939643,0.00761448339587973,279.624627530757
70,"01-Aug-2018 19:28:41",43.39175,-78.6843833333,322,0.03,3788,4995,"(100,72)",100,72,-74.0742,0,0,0,0,0.192,0.001,5.212022,NA,5.212022,0,NA,"100-72",7.4266,70.6818825419,10,74.266,"yes","",43.3899108769,-78.6880214043,1533151721,0.0133154412624214,155.067568681824
128,"06-Aug-2018 05:37:21",43.3925,-78.1733333333,135,0.04,6001,3457,"(137,63)",137,63,-33.9872,0,0,0,0,0.192,0.001,5.574947,NA,5.574947,0,NA,"137-63",3.4179,19.8352127842,10,34.179,"yes","",43.3932458447,-78.1702033091,1533533841,0.0183767438963329,12.4777962449217
129,"06-Aug-2018 06:00:43",43.39275,-78.1693166667,78,0.02,6001,3457,"(137,63)",137,63,-33.9872,0,0,0,0,0.192,0.001,5.574947,NA,5.574947,0,NA,"137-63",3.4179,19.8352127842,10,34.179,"yes","",43.3932458447,-78.1702033091,1533535243,0.0210354572656224,11.4013894027421
97,"03-Aug-2018 18:19:25",43.39285,-78.48715,109,0.06,4737,3608,"(116,64)",116,64,-33.8654,0,0,0,0,0.192,0.001,5.597024,NA,5.597024,0,NA,"116-64",3.4057,13.1870411067,10,34.057,"yes","",43.3927347429,-78.4814243115,1533320365,0.0425138982389558,6.66375637337536
134,"06-Aug-2018 16:01:06",43.393,-78.0325166667,75,0.04,6484,3983,"(145,66)",145,66,-33.1154,0,0,0,0,0.192,0.001,5.664171,NA,5.664171,0,NA,"145-66",3.3307,19.4040086268,10,33.307,"yes","",43.3936805182,-78.0387164559,1533571266,0.0159971576473102,206.405680175693
133,"06-Aug-2018 14:00:41",43.3932833333,-78.06005,64,0.05,6423,3809,"(144,65)",144,65,-32.8228,0,0,0,0,0.192,0.001,5.822189,NA,5.822189,0,NA,"144-65",3.3015,19.2540264593,10,33.015,"yes","",43.3935083276,-78.055102663,1533564041,0.011069403597697,171.560764561103
132,"06-Aug-2018 11:59:40",43.3935333333,-78.0852833333,56,0.05,6300,3462,"(142,63)",142,63,-32.2222,0,0,0,0,0.192,0.001,5.848114,NA,5.848114,0,NA,"142-63",3.2414,18.3328659615,10,32.414,"yes","",43.393506625,-78.0879534363,1533556780,0.032549035055152,9.4287485556225
135,"06-Aug-2018 18:00:22",43.3937,-78.0029833333,82,0.06,6605,4159,"(147,67)",147,67,-36.427,0,0,0,0,0.192,0.001,5.423419,NA,5.423419,0,NA,"147-67",3.6619,48.7576477427,10,36.619,"yes","",43.3938891013,-78.0059222083,1533578422,0.00394315139925983,224.40456764071
136,"06-Aug-2018 19:01:52",43.39375,-77.9880666667,116,0.02,6667,4160,"(148,67)",148,67,-38.2222,0,0,0,0,0.192,0.001,5.431845,NA,5.431845,0,NA,"148-67",3.8414,48.851933154,10,38.414,"yes","",43.3928382254,-77.9895939595,1533582112,0.00808190751950821,289.899490662459
14,"28-Jul-2018 12:41:24",43.3938333333,-79.0257833333,73,0.04,2338,6125,"(76,78)",76,78,-102.917,0,0,0,0,0.192,0.001,4.780396,NA,4.780396,0,NA,"76-78",10.3109,141.492335189,10,103.109,"yes","",43.3896660306,-79.0212565982,1532781684,0.0246533687154585,351.07270874098
110,"04-Aug-2018 16:44:00",43.3941166667,-78.1758166667,34,0.03,6002,3629,"(137,64)",137,64,-36.2099,0,0,0,0,0.192,0.001,5.663949,NA,5.663949,0,NA,"137-64",3.6402,19.842255251,10,36.402,"yes","",43.3945839926,-78.1701918804,1533401040,0.025905030550617,7.95386017764556
210,"12-Aug-2018 16:12:54",43.3941833333,-77.4407666667,161,0.03,9412,5446,"(180,74)",180,74,-173.657,0,0,0,0,0.192,0.001,4.619112,NA,4.619112,0,NA,"180-74",17.3849,218.974286305,10,173.849,"yes","",43.389734138,-77.4462777694,1534090374,0.0425485932539145,101.95622603551
98,"03-Aug-2018 19:27:24",43.3944166667,-78.4723333333,90,0.08,4799,3782,"(117,65)",117,65,-34.4754,0,0,0,0,0.192,0.001,5.501698,NA,5.501698,0,NA,"117-65",3.4667,15.3840450838,10,34.667,"yes","",43.3943996569,-78.4690416936,1533324444,0.0324377486763484,5.37604648724421
130,"06-Aug-2018 08:00:56",43.39455,-78.1408,56,0.05,6119,3459,"(139,63)",139,63,-35.6081,0,0,0,0,0.192,0.001,5.662379,NA,5.662379,0,NA,"139-63",3.58,18.6234458821,10,35.8,"yes","",43.3945092411,-78.1372732385,1533542456,0.0197540814795893,354.514964303196
109,"04-Aug-2018 15:58:30",43.3946666667,-78.1844,48,0.05,5942,3628,"(136,64)",136,64,-34.2785,0,0,0,0,0.192,0.001,5.544524,NA,5.544524,0,NA,"136-64",3.447,20.3050057108,10,34.47,"yes","",43.3942389828,-78.1866613606,1533398310,0.0387873502189535,5.93076829350173
24,"29-Jul-2018 06:36:27",43.3946833333,-79.1418166667,118,0.03,1878,6738,"(68,81)",68,81,-109.911,0,0,0,0,0.192,0.001,4.809837,NA,4.809837,0,NA,"68-81",11.0103,145.5369101,10,110.103,"yes","",43.397032689,-79.1406414671,1532846187,0.0100404805509727,288.862181373982
131,"06-Aug-2018 09:58:55",43.3946833333,-78.1131,52,0.06,6179,3289,"(140,62)",140,62,-34.1892,0,0,0,0,0.192,0.001,5.658311,NA,5.658311,0,NA,"140-62",3.4381,18.0105199642,10,34.381,"yes","",43.3939211803,-78.1208369265,1533549535,0.0274949292593168,355.8122842534
79,"02-Aug-2018 10:43:49",43.3951166667,-78.4878833333,101,0.1,4679,3953,"(115,66)",115,66,-39.6471,0,0,0,0,0.192,0.001,5.585325,NA,5.585325,0,NA,"115-66",3.9839,12.9543417168,10,39.839,"yes","",43.3951009248,-78.4932721308,1533206629,0.0420065809398872,7.00736857897863
71,"01-Aug-2018 21:28:49",43.3951833333,-78.6583666667,343,0.03,3908,4997,"(102,72)",102,72,-75.6421,0,0,0,0,0.192,0.001,4.904707,NA,4.904707,0,NA,"102-72",7.5834,70.6187482862,10,75.834,"yes","",43.3949519993,-78.6622118685,1533158929,0.0125782155436462,206.142551985178
221,"13-Aug-2018 14:13:20",43.3953666667,-77.6091833333,52,0.04,8439,5437,"(171,74)",171,74,-139.052,0,0,0,0,0.192,0.001,4.747983,NA,4.747983,0,NA,"171-74",13.9244,222.908422139,10,139.244,"yes","Offshore zone",43.4009796455,-77.6029578897,1534169600,0.0132791801431491,220.693223790199
108,"04-Aug-2018 13:55:55",43.3956166667,-78.2117833333,65,0.05,5821,3799,"(134,65)",134,65,-30.5238,0,0,0,0,0.192,0.001,5.558128,NA,5.558128,0,NA,"134-65",3.0716,20.6653754664,10,30.716,"yes","",43.3954237729,-78.2197136199,1533390955,0.0305002747706272,345.060200278383
99,"03-Aug-2018 21:27:36",43.397,-78.4429666667,90,0.08,4917,3957,"(119,66)",119,66,-36.6557,0,0,0,0,0.192,0.001,5.548975,NA,5.548975,0,NA,"119-66",3.6848,15.1589712579,10,36.848,"yes","",43.3970093886,-78.442343958,1533331656,0.0401802095666667,359.443043570815
107,"04-Aug-2018 11:57:55",43.3974666667,-78.2397666667,73,0.06,5763,4145,"(133,67)",133,67,-39.8221,0,0,0,0,0.192,0.001,5.441688,NA,5.441688,0,NA,"133-67",4.0014,52.1330459069,10,40.014,"yes","",43.3991814218,-78.2362496894,1533383875,0.0248106084223306,347.15404002293
53,"31-Jul-2018 11:02:28",43.3979666667,-78.7431166667,264,0.06,3547,5362,"(96,74)",96,74,-99.6145,0,0,0,0,0.192,0.001,4.729503,NA,4.729503,0,NA,"96-74",9.9807,148.426052753,10,99.807,"yes","",43.3993743154,-78.7477334168,1533034948,0.00425907267228169,0.617573601614009
72,"01-Aug-2018 23:28:04",43.3985,-78.6318333333,3,0.04,4031,4999,"(104,72)",104,72,-82.9859,0,0,0,0,0.192,0.001,4.827335,NA,4.827335,0,NA,"104-72",8.3178,71.102675255,10,83.178,"yes","",43.399915466,-78.6363852938,1533166084,0.0181759123363312,27.61265088333
106,"04-Aug-2018 09:55:34",43.3992,-78.26965,66,0.05,5643,4143,"(131,67)",131,67,-37.9064,0,0,0,0,0.192,0.001,5.410084,NA,5.410084,0,NA,"131-67",3.8098,51.4799427227,10,38.098,"yes","",43.399665941,-78.2693078571,1533376534,0.0259772170563681,355.778380582575
177,"10-Aug-2018 01:38:54",43.39925,-77.4413833333,170,0.01,9413,5638,"(180,75)",180,75,-182.481,0,0,0,0,0.192,0.001,4.625051,NA,4.625051,0,NA,"180-75",18.2673,217.75866962,10,182.673,"yes","",43.4036056275,-77.4448586678,1533865134,0.0208420029404565,94.0757088783502
100,"03-Aug-2018 23:25:29",43.3993833333,-78.4179833333,67,0.07,5040,4133,"(121,67)",121,67,-40.2919,0,0,0,0,0.192,0.001,5.511225,NA,5.511225,0,NA,"121-67",4.0484,40.8296079,10,40.484,"yes","",43.4002681009,-78.4150413542,1533338729,0.0437710431662561,356.940299057581
96,"03-Aug-2018 17:26:35",43.3995833333,-78.4854833333,110,0.05,4741,4303,"(116,68)",116,68,-49.375,0,0,0,0,0.192,0.001,5.460869,NA,5.460869,0,NA,"116-68",4.9567,33.7815281354,10,49.567,"yes","Offshore zone",43.4006322571,-78.4819625578,1533317195,0.0396536282069154,9.93884264622061
101,"04-Aug-2018 01:26:02",43.3997333333,-78.3884,73,0.08,5157,4135,"(123,67)",123,67,-39.0305,0,0,0,0,0.192,0.001,5.493406,NA,5.493406,0,NA,"123-67",3.9222,41.3641162636,10,39.222,"yes","Offshore zone",43.4006164476,-78.3859405957,1533345962,0.0443670362123309,358.129747369401
73,"02-Aug-2018 01:27:25",43.4006333333,-78.6036666667,35,0.04,4149,4822,"(106,71)",106,71,-73.3392,0,0,0,0,0.192,0.001,5.109678,NA,5.109678,0,NA,"106-71",7.3531,70.6760816756,10,73.531,"yes","",43.3986924609,-78.6084896174,1533173245,0.0152798323149618,290.716150770208
80,"02-Aug-2018 11:24:20",43.4008833333,-78.4867666667,81,0.11,4741,4303,"(116,68)",116,68,-49.375,0,0,0,0,0.192,0.001,5.460869,NA,5.460869,0,NA,"116-68",4.9567,33.7815281354,10,49.567,"yes","Offshore zone",43.4006322571,-78.4819625578,1533209060,0.0406246774744059,4.95235220275205
102,"04-Aug-2018 03:49:12",43.4011333333,-78.35505,68,0.07,5277,4137,"(125,67)",125,67,-39.3355,0,0,0,0,0.192,0.001,5.462493,NA,5.462493,0,NA,"125-67",3.9527,38.5408113254,10,39.527,"yes","Offshore zone",43.4008315316,-78.3574282475,1533354552,0.0435269456831372,355.760210596095
15,"28-Jul-2018 14:38:57",43.4012666667,-79.0481,61,0.02,2280,6327,"(75,79)",75,79,-106.172,0,0,0,0,0.192,0.001,4.749619,NA,4.749619,0,NA,"75-79",10.6364,141.560534701,10,106.364,"yes","",43.397691999,-79.0398789261,1532788737,0.0190701790964806,343.732956614239
137,"06-Aug-2018 20:00:56",43.4017,-77.9863,56,0.05,6670,4687,"(148,70)",148,70,-61.8571,0,0,0,0,0.192,0.001,5.095659,NA,5.095659,0,NA,"148-70",6.2049,49.1050275218,10,62.049,"yes","Offshore zone",43.402748619,-77.9887458217,1533585656,0.0158537441984812,195.414307920817
103,"04-Aug-2018 05:49:01",43.4018666667,-78.32615,63,0.07,5399,4139,"(127,67)",127,67,-38.3125,0,0,0,0,0.192,0.001,5.472295,NA,5.472295,0,NA,"127-67",3.8505,39.5871111919,10,38.505,"yes","Offshore zone",43.400653311,-78.3307101922,1533361741,0.0352831363280804,358.93612212454
223,"13-Aug-2018 16:16:02",43.4018833333,-77.62715,38,0.04,8333,5436,"(170,74)",170,74,-128.231,0,0,0,0,0.192,0.001,4.80182,NA,4.80182,0,NA,"170-74",12.8423,225.238702873,10,128.423,"yes","Offshore zone",43.4020745415,-77.6204034586,1534176962,0.0220135413516661,267.12895938272
104,"04-Aug-2018 07:49:00",43.4021666667,-78.2980833333,51,0.06,5522,4316,"(129,68)",129,68,-43.4802,0,0,0,0,0.192,0.001,5.352845,NA,5.352845,0,NA,"129-68",4.3672,50.3086330067,10,43.672,"yes","Offshore zone",43.4037222138,-78.3024282436,1533368940,0.027629841141852,7.35703805006231
105,"04-Aug-2018 07:53:00",43.40225,-78.2978833333,51,0.06,5522,4316,"(129,68)",129,68,-43.4802,0,0,0,0,0.192,0.001,5.352845,NA,5.352845,0,NA,"129-68",4.3672,50.3086330067,10,43.672,"yes","Offshore zone",43.4037222138,-78.3024282436,1533369180,0.027629841141852,7.35703805006231
222,"13-Aug-2018 15:56:33",43.4029333333,-77.6259333333,49,0.05,8333,5436,"(170,74)",170,74,-128.231,0,0,0,0,0.192,0.001,4.80182,NA,4.80182,0,NA,"170-74",12.8423,225.238702873,10,128.423,"yes","Offshore zone",43.4020745415,-77.6204034586,1534175793,0.0220135413516661,267.12895938272
67,"01-Aug-2018 13:00:59",43.4031333333,-78.7427166667,221,0.04,3547,5362,"(96,74)",96,74,-99.6145,0,0,0,0,0.192,0.001,4.729503,NA,4.729503,0,NA,"96-74",9.9807,148.426052753,10,99.807,"yes","",43.3993743154,-78.7477334168,1533128459,0.000206770807167758,315.523237295285
74,"02-Aug-2018 03:25:19",43.4037333333,-78.5759833333,28,0.04,4270,4824,"(108,71)",108,71,-69.2806,0,0,0,0,0.192,0.001,5.08121,NA,5.08121,0,NA,"108-71",6.9473,69.269761299,10,69.473,"yes","Offshore zone",43.4031150435,-78.5822976771,1533180319,0.0220305854094861,353.867262435726
111,"04-Aug-2018 17:59:30",43.40545,-78.1764333333,17,0.02,6007,4500,"(137,69)",137,69,-50.88,0,0,0,0,0.192,0.001,5.147571,NA,5.147571,0,NA,"137-69",5.1072,49.7596920763,10,51.072,"yes","Offshore zone",43.4062929906,-78.1700917886,1533405570,0.0315140746816954,13.153416557057
78,"02-Aug-2018 09:25:04",43.4058,-78.4946666667,97,0.08,4683,4654,"(115,70)",115,70,-59.0519,0,0,0,0,0.192,0.001,5.230715,NA,5.230715,0,NA,"115-70",5.9244,33.5904638376,10,59.244,"yes","Offshore zone",43.4064861444,-78.4944742196,1533201904,0.0269112594172471,6.96863792215422
191,"11-Aug-2018 00:15:56",43.4067,-77.33255,67,0.05,10005,5837,"(186,76)",186,76,-205.726,0,0,0,0,0.192,0.001,4.535056,NA,4.535056,0,NA,"186-76",20.5918,219.21232291,10,205.918,"no","",43.4103017644,-77.3405935341,1533946556,0.0187603927730362,334.649725806574
75,"02-Aug-2018 05:22:45",43.407,-78.5478833333,44,0.06,4446,4827,"(111,71)",111,71,-70.9847,0,0,0,0,0.192,0.001,5.102722,NA,5.102722,0,NA,"111-71",7.1177,65.6953875817,10,71.177,"yes","Offshore zone",43.4076104276,-78.5443985893,1533187365,0.0193677881922912,13.7812512215466
127,"06-Aug-2018 04:02:57",43.4076833333,-78.1743666667,133,0.03,6007,4500,"(137,69)",137,69,-50.88,0,0,0,0,0.192,0.001,5.147571,NA,5.147571,0,NA,"137-69",5.1072,49.7596920763,10,51.072,"yes","Offshore zone",43.4062929906,-78.1700917886,1533528177,0.0265470617313968,18.779274752725
16,"28-Jul-2018 16:38:37",43.4094833333,-79.0729666667,234,0.02,2165,6743,"(73,81)",73,81,-115.493,0,0,0,0,0.192,0.001,4.707705,NA,4.707705,0,NA,"73-81",11.5685,143.7823334,10,115.685,"yes","",43.4136381513,-79.0772250418,1532795917,0.0100493594172206,314.549161534314
76,"02-Aug-2018 07:29:34",43.4100333333,-78.5156666667,52,0.06,4564,4829,"(113,71)",113,71,-70.8108,0,0,0,0,0.192,0.001,5.0391,NA,5.0391,0,NA,"113-71",7.1003,64.7888197466,10,71.003,"yes","Offshore zone",43.4099347039,-78.5194533662,1533194974,0.0103610036740436,325.263802013283
77,"02-Aug-2018 08:41:49",43.4114666667,-78.4992666667,57,0.05,4684,4831,"(115,71)",115,71,-64.5495,0,0,0,0,0.192,0.001,5.023071,NA,5.023071,0,NA,"115-71",6.4741,68.1576381175,10,64.741,"yes","Offshore zone",43.4111082606,-78.4949623475,1533199309,0.00307648246143051,129.37284122727
23,"29-Jul-2018 04:41:53",43.4124166667,-79.1540833333,117,0.02,1880,7180,"(68,83)",68,83,-119.039,0,0,0,0,0.192,0.001,4.773479,NA,4.773479,0,NA,"68-83",11.9231,146.598087973,10,119.231,"no","",43.419007625,-79.1530800003,1532839313,0.00845702717006264,275.432721680708
54,"31-Jul-2018 12:59:25",43.4125,-78.7482333333,265,0.07,3548,5554,"(96,75)",96,75,-111.652,0,0,0,0,0.192,0.001,4.694326,NA,4.694326,0,NA,"96-75",11.1844,149.298320211,10,111.844,"yes","Offshore zone",43.4107084518,-78.7523476819,1533041965,0.0150507843759511,172.560616868264
209,"12-Aug-2018 14:24:57",43.4132333333,-77.4401166667,168,0.03,9414,5831,"(180,76)",180,76,-181.467,0,0,0,0,0.192,0.001,4.802465,NA,4.802465,0,NA,"180-76",18.1659,216.543052935,10,181.659,"yes","",43.417477049,-77.4434387108,1534083897,0.0260510882804541,52.9826870990717
176,"09-Aug-2018 23:45:17",43.4172666667,-77.4428833333,232,0.01,9414,5831,"(180,76)",180,76,-181.467,0,0,0,0,0.192,0.001,4.802465,NA,4.802465,0,NA,"180-76",18.1659,216.543052935,10,181.659,"yes","",43.417477049,-77.4434387108,1533858317,0.0131771945706007,83.0405416105334
95,"03-Aug-2018 15:30:54",43.41895,-78.4898,127,0.03,4685,5010,"(115,72)",115,72,-74.0109,0,0,0,0,0.192,0.001,4.854228,NA,4.854228,0,NA,"115-72",7.4203,69.4599187074,10,74.203,"yes","Offshore zone",43.4172610821,-78.4956122065,1533310254,0.0115257735183776,249.607590754076
17,"28-Jul-2018 18:33:28",43.4195666667,-79.0958833333,297,0.02,2108,6960,"(72,82)",72,82,-117.914,0,0,0,0,0.192,0.001,4.724033,NA,4.724033,0,NA,"72-82",11.8106,145.733661789,10,118.106,"yes","",43.4215550749,-79.0959622537,1532802808,0.00821391372050139,281.678605393073
81,"02-Aug-2018 13:24:39",43.4204666667,-78.4915,74,0.07,4685,5010,"(115,72)",115,72,-74.0109,0,0,0,0,0.192,0.001,4.854228,NA,4.854228,0,NA,"115-72",7.4203,69.4599187074,10,74.203,"yes","Offshore zone",43.4172610821,-78.4956122065,1533216279,0.00771025854625064,265.995385572629
138,"06-Aug-2018 22:04:41",43.4218833333,-77.9887833333,350,0.01,6673,5227,"(148,73)",148,73,-95.8689,0,0,0,0,0.192,0.001,4.827549,NA,4.827549,0,NA,"148-73",9.6061,194.140741739,10,96.061,"yes","Offshore zone",43.4240905695,-77.9870151157,1533593081,0.00705739059206677,311.646902164609
66,"01-Aug-2018 11:07:00",43.4227333333,-78.7477333333,196,0.03,3609,5748,"(97,76)",97,76,-121.814,0,0,0,0,0.192,0.001,4.676664,NA,4.676664,0,NA,"97-76",12.2006,147.720289759,10,122.006,"yes","Offshore zone",43.4247881261,-78.7434898603,1533121620,0.0295349795196962,164.728890309606
112,"04-Aug-2018 20:01:20",43.4254833333,-78.1762333333,36,0.02,6011,5216,"(137,73)",137,73,-78.5026,0,0,0,0,0.192,0.001,4.815087,NA,4.815087,0,NA,"137-73",7.8695,190.251640899,10,78.695,"yes","Offshore zone",43.4310470046,-78.1698420389,1533412880,0.0203810148499538,141.999107660468
192,"11-Aug-2018 02:20:52",43.4258,-77.34405,68,0.04,10006,6035,"(186,77)",186,77,-205.205,0,0,0,0,0.192,0.001,4.605218,NA,4.605218,0,NA,"186-77",20.5397,215.581305105,10,205.397,"no","",43.4244047128,-77.3397213092,1533954052,0.0246485612632097,344.669132905443
126,"06-Aug-2018 02:00:20",43.4280166667,-78.1759666667,104,0.02,6011,5216,"(137,73)",137,73,-78.5026,0,0,0,0,0.192,0.001,4.815087,NA,4.815087,0,NA,"137-73",7.8695,190.251640899,10,78.695,"yes","Offshore zone",43.4310470046,-78.1698420389,1533520820,0.0231609748204521,141.837809050416
18,"28-Jul-2018 20:35:32",43.4284833333,-79.1223166667,285,0.03,1994,7182,"(70,83)",70,83,-120.424,0,0,0,0,0.192,0.001,4.767637,NA,4.767637,0,NA,"70-83",12.0616,145.633638648,10,120.616,"yes","",43.4259065683,-79.1275566709,1532810132,0.00877285613828673,275.553913231391
22,"29-Jul-2018 02:45:02",43.4304333333,-79.167,137,0.02,1881,7408,"(68,84)",68,84,-123.319,0,0,0,0,0.192,0.001,4.789005,NA,4.789005,0,NA,"68-84",12.3511,147.12867691,10,123.511,"no","",43.4299946162,-79.1593025586,1532832302,0.0072427385413634,257.304999702591
55,"31-Jul-2018 14:57:50",43.4310166667,-78.7515833333,275,0.06,3610,5946,"(97,77)",97,77,-128.941,0,0,0,0,0.192,0.001,4.627886,NA,4.627886,0,NA,"97-77",12.9133,151.647603617,10,129.133,"yes","Offshore zone",43.4362727876,-78.7479421512,1533049070,0.0345917250746192,167.598115477373
208,"12-Aug-2018 10:22:27",43.4365333333,-77.4401833333,188,0.04,9415,6029,"(180,77)",180,77,-189.035,0,0,0,0,0.192,0.001,4.671301,NA,4.671301,0,NA,"180-77",18.9227,214.494647254,10,189.227,"yes","",43.4313188431,-77.4419953268,1534069347,0.0179546048388278,28.6288862320491
19,"28-Jul-2018 22:36:48",43.4377,-79.1476666667,301,0.02,1938,7409,"(69,84)",69,84,-124.038,0,0,0,0,0.192,0.001,4.774845,NA,4.774845,0,NA,"69-84",12.423,145.844016364,10,124.23,"no","",43.4335365155,-79.1464981274,1532817408,0.00748804961822645,251.568020666723
94,"03-Aug-2018 13:27:29",43.4398,-78.4959166667,172,0.01,4687,5381,"(115,74)",115,74,-122.225,0,0,0,0,0.192,0.001,4.700363,NA,4.700363,0,NA,"115-74",12.2417,134.14571699,10,122.417,"yes","Offshore zone",43.4374520168,-78.4986512712,1533302849,0.0158916330027043,209.890871760252
175,"09-Aug-2018 21:14:27",43.4407833333,-77.4434333333,245,0.02,9416,6229,"(180,78)",180,78,-195.108,0,0,0,0,0.192,0.001,4.834577,NA,4.834577,0,NA,"180-78",19.53,213.369390675,10,195.3,"yes","",43.4451300413,-77.4405285412,1533849267,0.00274104208294029,52.3133191988576
82,"02-Aug-2018 15:26:40",43.4412,-78.4982666667,41,0.03,4687,5381,"(115,74)",115,74,-122.225,0,0,0,0,0.192,0.001,4.700363,NA,4.700363,0,NA,"115-74",12.2417,134.14571699,10,122.417,"yes","Offshore zone",43.4374520168,-78.4986512712,1533223600,0.00907683757931173,223.034686734653
113,"04-Aug-2018 21:58:25",43.4423833333,-78.1769333333,30,0.03,6012,5403,"(137,74)",137,74,-97.0209,0,0,0,0,0.192,0.001,4.801629,NA,4.801629,0,NA,"137-74",9.7213,191.016052805,10,97.213,"yes","Offshore zone",43.4437493923,-78.1697464896,1533419905,0.0084526597826714,170.624985214491
139,"07-Aug-2018 00:10:51",43.44305,-77.9895666667,313,0.03,6674,5414,"(148,74)",148,74,-114.997,0,0,0,0,0.192,0.001,4.763748,NA,4.763748,0,NA,"148-74",11.5189,194.983190034,10,115.189,"yes","Offshore zone",43.4370346287,-77.986101792,1533600651,0.00415288274796986,258.172681208244
193,"11-Aug-2018 04:20:47",43.4438166667,-77.356,31,0.04,9912,6234,"(185,78)",185,78,-203.271,0,0,0,0,0.192,0.001,4.566695,NA,4.566695,0,NA,"185-78",20.3463,213.715120684,10,203.463,"no","",43.4394591788,-77.3557042297,1533961247,0.023511308629348,356.980988386548
65,"01-Aug-2018 09:03:59",43.4452,-78.7502,136,0.05,3611,6146,"(97,78)",97,78,-135.338,0,0,0,0,0.192,0.001,4.699265,NA,4.699265,0,NA,"97-78",13.553,152.880057068,10,135.53,"yes","Offshore zone",43.4478761324,-78.7523386003,1533114239,0.0322682816139031,166.515769204503
56,"31-Jul-2018 16:55:34",43.4461333333,-78.7544333333,268,0.04,3611,6146,"(97,78)",97,78,-135.338,0,0,0,0,0.192,0.001,4.699265,NA,4.699265,0,NA,"97-78",13.553,152.880057068,10,135.53,"yes","Offshore zone",43.4478761324,-78.7523386003,1533056134,0.0372119575607929,167.993991034109
125,"06-Aug-2018 00:00:33",43.4463833333,-78.1786333333,98,0.01,5952,5402,"(136,74)",136,74,-96.5748,0,0,0,0,0.192,0.001,4.793274,NA,4.793274,0,NA,"136-74",9.6767,190.373020156,10,96.767,"yes","Offshore zone",43.4439535597,-78.1864460195,1533513633,0.0112655517048664,196.181661760465
21,"29-Jul-2018 01:06:52",43.4467666667,-79.17525,71,0.04,1883,7870,"(68,86)",68,86,-129.546,0,0,0,0,0.192,0.001,4.764132,NA,4.764132,0,NA,"68-86",12.9738,150.613508549,10,129.738,"no","",43.45229941,-79.1716985238,1532826412,0.0107698614477837,195.756534771661
20,"29-Jul-2018 00:37:18",43.447,-79.1732666667,316,0.02,1883,7870,"(68,86)",68,86,-129.546,0,0,0,0,0.192,0.001,4.764132,NA,4.764132,0,NA,"68-86",12.9738,150.613508549,10,129.738,"no","",43.45229941,-79.1716985238,1532824638,0.0107698614477837,195.756534771661
